id,group,name,code,group_index,icon_index,filename,viewBox,aliases,colors
agents_robot_agent_01-01,agents,robot_agent,01-01,1,1,agents_robot_agent_01-01.svg,0 0 512 512,robot_agent,#0b1fb3
agents_llm_chat_01-02,agents,llm_chat,01-02,1,2,agents_llm_chat_01-02.svg,0 0 512 512,llm_chat,#0b1fb3
agents_agent_planner_01-03,agents,agent_planner,01-03,1,3,agents_agent_planner_01-03.svg,0 0 512 512,agent_planner,#8fb7df|#0b1fb3
agents_tool_call_01-04,agents,tool_call,01-04,1,4,agents_tool_call_01-04.svg,0 0 512 512,tool_call,#8fb7df|#0b1fb3
agents_function_router_01-05,agents,function_router,01-05,1,5,agents_function_router_01-05.svg,0 0 512 512,function_router,#8fb7df|#0b1fb3
agents_rag_retriever_01-06,agents,rag_retriever,01-06,1,6,agents_rag_retriever_01-06.svg,0 0 512 512,rag_retriever,#8fb7df|#0b1fb3
agents_prompt_template_01-07,agents,prompt_template,01-07,1,7,agents_prompt_template_01-07.svg,0 0 512 512,prompt_template,#8fb7df|#0b1fb3
agents_context_window_01-08,agents,context_window,01-08,1,8,agents_context_window_01-08.svg,0 0 512 512,context_window,#8fb7df|#0b1fb3
agents_multi_agent_orchestrator_01-09,agents,multi_agent_orchestrator,01-09,1,9,agents_multi_agent_orchestrator_01-09.svg,0 0 512 512,multi_agent_orchestrator,#8fb7df|#0b1fb3
agents_agent_debate_01-10,agents,agent_debate,01-10,1,10,agents_agent_debate_01-10.svg,0 0 512 512,agent_debate,#0b1fb3
agents_monitoring_dashboard_01-11,agents,monitoring_dashboard,01-11,1,11,agents_monitoring_dashboard_01-11.svg,0 0 512 512,monitoring_dashboard,#8fb7df|#0b1fb3
agents_model_deployment_01-12,agents,model_deployment,01-12,1,12,agents_model_deployment_01-12.svg,0 0 512 512,model_deployment,#8fb7df|#0b1fb3
agents_rollback_version_01-13,agents,rollback_version,01-13,1,13,agents_rollback_version_01-13.svg,0 0 512 512,rollback_version,#8fb7df|#0b1fb3
agents_confusion_matrix_01-14,agents,confusion_matrix,01-14,1,14,agents_confusion_matrix_01-14.svg,0 0 512 512,confusion_matrix,#8fb7df|#0b1fb3
agents_roc_curve_01-15,agents,roc_curve,01-15,1,15,agents_roc_curve_01-15.svg,0 0 512 512,roc_curve,#8fb7df|#0b1fb3
agents_precision_recall_balance_01-16,agents,precision_recall_balance,01-16,1,16,agents_precision_recall_balance_01-16.svg,0 0 512 512,precision_recall_balance,#8fb7df|#0b1fb3
agents_model_training_01-17,agents,model_training,01-17,1,17,agents_model_training_01-17.svg,0 0 512 512,model_training,#0b1fb3
agents_model_validation_01-18,agents,model_validation,01-18,1,18,agents_model_validation_01-18.svg,0 0 512 512,model_validation,#0b1fb3
agents_experiment_flask_01-19,agents,experiment_flask,01-19,1,19,agents_experiment_flask_01-19.svg,0 0 512 512,experiment_flask,#0b1fb3
agents_hypothesis_lightbulb_01-20,agents,hypothesis_lightbulb,01-20,1,20,agents_hypothesis_lightbulb_01-20.svg,0 0 512 512,hypothesis_lightbulb,#0b1fb3
agents_optimization_sliders_01-21,agents,optimization_sliders,01-21,1,21,agents_optimization_sliders_01-21.svg,0 0 512 512,optimization_sliders,#0b1fb3
agents_signal_quality_magnifier_01-22,agents,signal_quality_magnifier,01-22,1,22,agents_signal_quality_magnifier_01-22.svg,0 0 512 512,signal_quality_magnifier,#0b1fb3
agents_model_refresh_01-23,agents,model_refresh,01-23,1,23,agents_model_refresh_01-23.svg,0 0 512 512,model_refresh,#0b1fb3
agents_guardrails_01-24,agents,guardrails,01-24,1,24,agents_guardrails_01-24.svg,0 0 512 512,guardrails,#8fb7df|#0b1fb3
agents_human_review_01-25,agents,human_review,01-25,1,25,agents_human_review_01-25.svg,0 0 512 512,human_review,#0b1fb3
agents_compliance_scale_01-26,agents,compliance_scale,01-26,1,26,agents_compliance_scale_01-26.svg,0 0 512 512,compliance_scale,#0b1fb3
agents_audit_log_01-27,agents,audit_log,01-27,1,27,agents_audit_log_01-27.svg,0 0 512 512,audit_log,#0b1fb3
agents_kill_switch_01-28,agents,kill_switch,01-28,1,28,agents_kill_switch_01-28.svg,0 0 512 512,kill_switch,#0b1fb3
agents_pii_masking_01-29,agents,pii_masking,01-29,1,29,agents_pii_masking_01-29.svg,0 0 512 512,pii_masking,#8fb7df|#0b1fb3|#1a245f
agents_sandbox_executor_01-30,agents,sandbox_executor,01-30,1,30,agents_sandbox_executor_01-30.svg,0 0 512 512,sandbox_executor,#8fb7df|#0b1fb3
agents_confidence_meter_01-31,agents,confidence_meter,01-31,1,31,agents_confidence_meter_01-31.svg,0 0 512 512,confidence_meter,#0b1fb3
agents_brain_ai_01-32,agents,brain_ai,01-32,1,32,agents_brain_ai_01-32.svg,0 0 512 512,brain_ai,#0b1fb3
agents_chat_message_01-33,agents,chat_message,01-33,1,33,agents_chat_message_01-33.svg,0 0 512 512,chat_message,#0b1fb3
data_api_connector_02-01,data,api_connector,02-01,2,1,data_api_connector_02-01.svg,0 0 512 512,api_connector,#0b1fb3
data_server_stack_02-02,data,server_stack,02-02,2,2,data_server_stack_02-02.svg,0 0 512 512,server_stack,#0b1fb3
data_cloud_data_02-03,data,cloud_data,02-03,2,3,data_cloud_data_02-03.svg,0 0 512 512,cloud_data,#0b1fb3
data_streaming_data_02-04,data,streaming_data,02-04,2,4,data_streaming_data_02-04.svg,0 0 512 512,streaming_data,#0b1fb3
data_data_lake_02-05,data,data_lake,02-05,2,5,data_data_lake_02-05.svg,0 0 512 512,data_lake,#8fb7df|#0b1fb3
data_data_warehouse_02-06,data,data_warehouse,02-06,2,6,data_data_warehouse_02-06.svg,0 0 512 512,data_warehouse,#8fb7df|#0b1fb3
data_etl_pipeline_dag_02-07,data,etl_pipeline_dag,02-07,2,7,data_etl_pipeline_dag_02-07.svg,0 0 512 512,etl_pipeline_dag,#8fb7df|#0b1fb3
data_change_data_capture_02-08,data,change_data_capture,02-08,2,8,data_change_data_capture_02-08.svg,0 0 512 512,change_data_capture,#8fb7df|#0b1fb3
data_schema_registry_02-09,data,schema_registry,02-09,2,9,data_schema_registry_02-09.svg,0 0 512 512,schema_registry,#8fb7df|#08741c|#0b1fb3
data_data_catalog_02-10,data,data_catalog,02-10,2,10,data_data_catalog_02-10.svg,0 0 512 512,data_catalog,#8fb7df|#0b1fb3
data_data_quality_check_02-11,data,data_quality_check,02-11,2,11,data_data_quality_check_02-11.svg,0 0 512 512,data_quality_check,#8fb7df|#08741c|#0b1fb3
data_data_lineage_02-12,data,data_lineage,02-12,2,12,data_data_lineage_02-12.svg,0 0 512 512,data_lineage,#8fb7df|#0b1fb3
data_feature_store_02-13,data,feature_store,02-13,2,13,data_feature_store_02-13.svg,0 0 512 512,feature_store,#8fb7df|#0b1fb3
data_labeled_dataset_02-14,data,labeled_dataset,02-14,2,14,data_labeled_dataset_02-14.svg,0 0 512 512,labeled_dataset,#8fb7df|#0b1fb3
data_feature_engineering_02-15,data,feature_engineering,02-15,2,15,data_feature_engineering_02-15.svg,0 0 512 512,feature_engineering,#8fb7df|#0b1fb3
data_train_test_split_02-16,data,train_test_split,02-16,2,16,data_train_test_split_02-16.svg,0 0 512 512,train_test_split,#8fb7df|#0b1fb3
data_hyperparameter_search_02-17,data,hyperparameter_search,02-17,2,17,data_hyperparameter_search_02-17.svg,0 0 512 512,hyperparameter_search,#8fb7df|#0b1fb3
data_model_registry_02-18,data,model_registry,02-18,2,18,data_model_registry_02-18.svg,0 0 512 512,model_registry,#8fb7df|#0b1fb3
data_feature_importance_02-19,data,feature_importance,02-19,2,19,data_feature_importance_02-19.svg,0 0 512 512,feature_importance,#8fb7df|#0b1fb3
data_model_drift_alarm_02-20,data,model_drift_alarm,02-20,2,20,data_model_drift_alarm_02-20.svg,0 0 512 512,model_drift_alarm,#8fb7df|#d41217|#0b1fb3
data_embedding_vector_02-21,data,embedding_vector,02-21,2,21,data_embedding_vector_02-21.svg,0 0 512 512,embedding_vector,#0b1fb3
data_vector_database_02-22,data,vector_database,02-22,2,22,data_vector_database_02-22.svg,0 0 512 512,vector_database,#0b1fb3
data_knowledge_graph_02-23,data,knowledge_graph,02-23,2,23,data_knowledge_graph_02-23.svg,0 0 512 512,knowledge_graph,#0b1fb3
data_semantic_graph_02-24,data,semantic_graph,02-24,2,24,data_semantic_graph_02-24.svg,0 0 512 512,semantic_graph,#0b1fb3
data_memory_database_02-25,data,memory_database,02-25,2,25,data_memory_database_02-25.svg,0 0 512 512,memory_database,#0b1fb3
data_filter_funnel_02-26,data,filter_funnel,02-26,2,26,data_filter_funnel_02-26.svg,0 0 512 512,filter_funnel,#0b1fb3
data_aggregation_puzzle_02-27,data,aggregation_puzzle,02-27,2,27,data_aggregation_puzzle_02-27.svg,0 0 512 512,aggregation_puzzle,#0b1fb3
data_news_document_02-28,data,news_document,02-28,2,28,data_news_document_02-28.svg,0 0 512 512,news_document,#0b1fb3
data_calendar_event_02-29,data,calendar_event,02-29,2,29,data_calendar_event_02-29.svg,0 0 512 512,calendar_event,#0b1fb3
data_historical_database_02-30,data,historical_database,02-30,2,30,data_historical_database_02-30.svg,0 0 512 512,historical_database,#0b1fb3
data_heartbeat_signal_02-31,data,heartbeat_signal,02-31,2,31,data_heartbeat_signal_02-31.svg,0 0 512 512,heartbeat_signal,#0b1fb3
