id,group,name,code,group_index,icon_index,filename,viewBox,aliases,colors
trading_tech_chart_up_01-01,trading,tech_chart_up,01-01,1,1,trading_tech_chart_up_01-01.svg,0 0 512 512,tech_chart_up,#0b1fb3
trading_trader_person_01-02,trading,trader_person,01-02,1,2,trading_trader_person_01-02.svg,0 0 512 512,trader_person,#0b1fb3
trading_bull_01-03,trading,bull,01-03,1,3,trading_bull_01-03.svg,0 0 512 512,bull,#0b1fb3
trading_bear_01-04,trading,bear,01-04,1,4,trading_bear_01-04.svg,0 0 512 512,bear,#0b1fb3
trading_green_bull_trend_01-05,trading,green_bull_trend,01-05,1,5,trading_green_bull_trend_01-05.svg,0 0 512 512,green_bull_trend,#08741c|#0b1fb3
trading_red_bear_trend_01-06,trading,red_bear_trend,01-06,1,6,trading_red_bear_trend_01-06.svg,0 0 512 512,red_bear_trend,#d41217
trading_candles_price_01-07,trading,candles_price,01-07,1,7,trading_candles_price_01-07.svg,0 0 512 512,candles_price,#0b1fb3
trading_candles_ohlc_01-08,trading,candles_ohlc,01-08,1,8,trading_candles_ohlc_01-08.svg,0 0 512 512,candles_ohlc,#0b1fb3
trading_volume_bars_01-09,trading,volume_bars,01-09,1,9,trading_volume_bars_01-09.svg,0 0 512 512,volume_bars,#0b1fb3
trading_indicator_line_01-10,trading,indicator_line,01-10,1,10,trading_indicator_line_01-10.svg,0 0 512 512,indicator_line,#0b1fb3
trading_forecast_nodes_01-11,trading,forecast_nodes,01-11,1,11,trading_forecast_nodes_01-11.svg,0 0 512 512,forecast_nodes,#0b1fb3
trading_market_regime_pie_01-12,trading,market_regime_pie,01-12,1,12,trading_market_regime_pie_01-12.svg,0 0 512 512,market_regime_pie,#0b1fb3
trading_sentiment_smile_01-13,trading,sentiment_smile,01-13,1,13,trading_sentiment_smile_01-13.svg,0 0 512 512,sentiment_smile,#0b1fb3
trading_globe_market_01-14,trading,globe_market,01-14,1,14,trading_globe_market_01-14.svg,0 0 512 512,globe_market,#0b1fb3
trading_order_book_01-15,trading,order_book,01-15,1,15,trading_order_book_01-15.svg,0 0 512 512,order_book,#0b1fb3
trading_bid_ask_ladder_01-16,trading,bid_ask_ladder,01-16,1,16,trading_bid_ask_ladder_01-16.svg,0 0 512 512,bid_ask_ladder,#8fb7df|#d41217|#0b1fb3
trading_exchange_building_01-17,trading,exchange_building,01-17,1,17,trading_exchange_building_01-17.svg,0 0 512 512,exchange_building,#0b1fb3
trading_liquidity_drops_01-18,trading,liquidity_drops,01-18,1,18,trading_liquidity_drops_01-18.svg,0 0 512 512,liquidity_drops,#0b1fb3
trading_volatility_wave_01-19,trading,volatility_wave,01-19,1,19,trading_volatility_wave_01-19.svg,0 0 512 512,volatility_wave,#0b1fb3
trading_volatility_smile_01-20,trading,volatility_smile,01-20,1,20,trading_volatility_smile_01-20.svg,0 0 512 512,volatility_smile,#8fb7df|#0b1fb3
trading_mean_reversion_band_01-21,trading,mean_reversion_band,01-21,1,21,trading_mean_reversion_band_01-21.svg,0 0 512 512,mean_reversion_band,#8fb7df|#08741c|#0b1fb3
trading_arbitrage_triangle_01-22,trading,arbitrage_triangle,01-22,1,22,trading_arbitrage_triangle_01-22.svg,0 0 512 512,arbitrage_triangle,#8fb7df|#0b1fb3
trading_target_signal_01-23,trading,target_signal,01-23,1,23,trading_target_signal_01-23.svg,0 0 512 512,target_signal,#0b1fb3
trading_spread_arrows_01-24,trading,spread_arrows,01-24,1,24,trading_spread_arrows_01-24.svg,0 0 512 512,spread_arrows,#0b1fb3
trading_long_position_01-25,trading,long_position,01-25,1,25,trading_long_position_01-25.svg,0 0 512 512,long_position,#08741c|#0b1fb3
trading_short_position_01-26,trading,short_position,01-26,1,26,trading_short_position_01-26.svg,0 0 512 512,short_position,#d41217
trading_position_size_01-27,trading,position_size,01-27,1,27,trading_position_size_01-27.svg,0 0 512 512,position_size,#0b1fb3
trading_position_pie_01-28,trading,position_pie,01-28,1,28,trading_position_pie_01-28.svg,0 0 512 512,position_pie,#0b1fb3
trading_portfolio_briefcase_01-29,trading,portfolio_briefcase,01-29,1,29,trading_portfolio_briefcase_01-29.svg,0 0 512 512,portfolio_briefcase,#0b1fb3
trading_portfolio_rebalance_01-30,trading,portfolio_rebalance,01-30,1,30,trading_portfolio_rebalance_01-30.svg,0 0 512 512,portfolio_rebalance,#8fb7df|#0b1fb3
trading_leverage_multiplier_01-31,trading,leverage_multiplier,01-31,1,31,trading_leverage_multiplier_01-31.svg,0 0 512 512,leverage_multiplier,#8fb7df|#0b1fb3
trading_margin_call_warning_01-32,trading,margin_call_warning,01-32,1,32,trading_margin_call_warning_01-32.svg,0 0 512 512,margin_call_warning,#8fb7df|#d41217|#0b1fb3
trading_correlation_matrix_01-33,trading,correlation_matrix,01-33,1,33,trading_correlation_matrix_01-33.svg,0 0 512 512,correlation_matrix,#8fb7df|#0b1fb3
trading_beta_exposure_01-34,trading,beta_exposure,01-34,1,34,trading_beta_exposure_01-34.svg,0 0 512 512,beta_exposure,#8fb7df|#0b1fb3
trading_hedging_umbrella_01-35,trading,hedging_umbrella,01-35,1,35,trading_hedging_umbrella_01-35.svg,0 0 512 512,hedging_umbrella,#8fb7df|#0b1fb3
trading_stop_loss_01-36,trading,stop_loss,01-36,1,36,trading_stop_loss_01-36.svg,0 0 512 512,stop_loss,#0b1fb3
trading_take_profit_01-37,trading,take_profit,01-37,1,37,trading_take_profit_01-37.svg,0 0 512 512,take_profit,#0b1fb3
trading_slippage_gap_01-38,trading,slippage_gap,01-38,1,38,trading_slippage_gap_01-38.svg,0 0 512 512,slippage_gap,#8fb7df|#d41217|#0b1fb3
trading_fees_commission_01-39,trading,fees_commission,01-39,1,39,trading_fees_commission_01-39.svg,0 0 512 512,fees_commission,#8fb7df|#0b1fb3
trading_block_trade_01-40,trading,block_trade,01-40,1,40,trading_block_trade_01-40.svg,0 0 512 512,block_trade,#0b1fb3
trading_deal_handshake_01-41,trading,deal_handshake,01-41,1,41,trading_deal_handshake_01-41.svg,0 0 512 512,deal_handshake,#0b1fb3
trading_trade_command_plane_01-42,trading,trade_command_plane,01-42,1,42,trading_trade_command_plane_01-42.svg,0 0 512 512,trade_command_plane,#0b1fb3
trading_risk_shield_star_01-43,trading,risk_shield_star,01-43,1,43,trading_risk_shield_star_01-43.svg,0 0 512 512,risk_shield_star,#0b1fb3
trading_risk_gate_shield_lock_01-44,trading,risk_gate_shield_lock,01-44,1,44,trading_risk_gate_shield_lock_01-44.svg,0 0 512 512,risk_gate_shield_lock,#0b1fb3
trading_risk_control_shield_plus_01-45,trading,risk_control_shield_plus,01-45,1,45,trading_risk_control_shield_plus_01-45.svg,0 0 512 512,risk_control_shield_plus,#0b1fb3
trading_drawdown_arrow_down_01-46,trading,drawdown_arrow_down,01-46,1,46,trading_drawdown_arrow_down_01-46.svg,0 0 512 512,drawdown_arrow_down,#0b1fb3
trading_anomaly_detection_01-47,trading,anomaly_detection,01-47,1,47,trading_anomaly_detection_01-47.svg,0 0 512 512,anomaly_detection,#8fb7df|#d41217|#0b1fb3
trading_outlier_magnifier_01-48,trading,outlier_magnifier,01-48,1,48,trading_outlier_magnifier_01-48.svg,0 0 512 512,outlier_magnifier,#8fb7df|#d41217|#0b1fb3
trading_value_at_risk_01-49,trading,value_at_risk,01-49,1,49,trading_value_at_risk_01-49.svg,0 0 512 512,value_at_risk,#8fb7df|#d41217|#0b1fb3
trading_stress_test_01-50,trading,stress_test,01-50,1,50,trading_stress_test_01-50.svg,0 0 512 512,stress_test,#8fb7df|#0b1fb3
trading_scenario_tree_01-51,trading,scenario_tree,01-51,1,51,trading_scenario_tree_01-51.svg,0 0 512 512,scenario_tree,#8fb7df|#0b1fb3
trading_options_chain_01-52,trading,options_chain,01-52,1,52,trading_options_chain_01-52.svg,0 0 512 512,options_chain,#8fb7df|#08741c|#d41217|#0b1fb3|#1a245f
trading_call_option_01-53,trading,call_option,01-53,1,53,trading_call_option_01-53.svg,0 0 512 512,call_option,#08741c|#0b1fb3
trading_put_option_01-54,trading,put_option,01-54,1,54,trading_put_option_01-54.svg,0 0 512 512,put_option,#d41217
trading_greeks_delta_gamma_01-55,trading,greeks_delta_gamma,01-55,1,55,trading_greeks_delta_gamma_01-55.svg,0 0 512 512,greeks_delta_gamma,#8fb7df|#0b1fb3
trading_futures_contract_01-56,trading,futures_contract,01-56,1,56,trading_futures_contract_01-56.svg,0 0 512 512,futures_contract,#8fb7df|#0b1fb3
trading_rollover_contract_01-57,trading,rollover_contract,01-57,1,57,trading_rollover_contract_01-57.svg,0 0 512 512,rollover_contract,#8fb7df|#0b1fb3
trading_expiration_calendar_01-58,trading,expiration_calendar,01-58,1,58,trading_expiration_calendar_01-58.svg,0 0 512 512,expiration_calendar,#8fb7df|#0b1fb3
trading_pnl_line_chart_01-59,trading,pnl_line_chart,01-59,1,59,trading_pnl_line_chart_01-59.svg,0 0 512 512,pnl_line_chart,#0b1fb3
trading_pnl_bars_01-60,trading,pnl_bars,01-60,1,60,trading_pnl_bars_01-60.svg,0 0 512 512,pnl_bars,#0b1fb3
trading_realtime_stream_bolt_01-61,trading,realtime_stream_bolt,01-61,1,61,trading_realtime_stream_bolt_01-61.svg,0 0 512 512,realtime_stream_bolt,#8fb7df|#0b1fb3
trading_batch_job_clock_01-62,trading,batch_job_clock,01-62,1,62,trading_batch_job_clock_01-62.svg,0 0 512 512,batch_job_clock,#8fb7df|#0b1fb3
trading_backtest_timeline_01-63,trading,backtest_timeline,01-63,1,63,trading_backtest_timeline_01-63.svg,0 0 512 512,backtest_timeline,#8fb7df|#08741c|#d41217|#0b1fb3
trading_walk_forward_validation_01-64,trading,walk_forward_validation,01-64,1,64,trading_walk_forward_validation_01-64.svg,0 0 512 512,walk_forward_validation,#8fb7df|#0b1fb3
